transcript	GSK_rep1	GSK_rep2	LLY_rep1	LLY_rep2
L1FLnI_9q22.32f	10	3	18	8
L1FLnI_3q12.1e	10	3	4	1
L1FLnI_5q23.3d	10	8	17	7
L1FLnI_6q14.3x	10	0	13	4
L1FLnI_21q21.1d	10	4	8	1
L1FLnI_12p13.31d	10	5	17	4
L1FLI_17p13.1	10	9	9	3
L1FLnI_5p13.2i	10	3	9	1
L1FLnI_3q25.1a	10	14	25	19
L1FLnI_7q33n	10	5	6	5
L1FLnI_3q25.32j	10	11	19	8
L1FLnI_6p21.1m	10	6	7	6
L1FLnI_9q31.2c	10	7	11	10
L1FLnI_10q26.3f	10	11	12	9
L1FLnI_Xq23za	10	10	31	13
L1FLnI_8q22.3q	10	11	20	5
L1FLnI_21q11.2l	10	8	26	13
L1FLnI_11q21j	10	5	17	11
L1FLnI_1p31.1sa	10	12	21	9
L1FLnI_8q21.3la	10	15	23	16
L1FLnI_4q31.21ra	10	2	11	4
L1FLnI_14q22.2g	10	10	23	8
L1FLnI_12p12.3z	10	3	11	3
L1FLnI_5q11.2x	10	2	15	4
L1FLnI_10q11.23d	10	10	8	8
L1FLnI_7q22.1i	10	9	17	5
L1FLnI_13q32.1i	10	9	27	2
L1FLnI_2q36.3g	10	3	5	3
L1FLnI_3q25.32o	10	5	5	1
L1FLnI_Xp11.21ka	10	5	12	2
L1FLnI_Xq11.1j	10	7	15	6
L1FLnI_8q21.11v	10	1	11	2
L1FLnI_18q12.2e	10	11	16	10
L1FLnI_8p21.1	10	11	16	2
L1FLnI_7p12.1r	10	4	8	5
L1FLnI_14q22.3d	10	3	16	1
L1FLnI_Xp11.21z	10	9	16	7
L1FLnI_15q24.3i	10	6	12	0
L1FLnI_6q16.3fa	10	3	9	7
L1FLnI_7q31.31r	10	4	19	7
L1FLnI_12q13.11v	10	9	22	6
L1FLnI_3q22.1ba	10	2	7	4
L1FLnI_15q23n	10	16	12	9
L1FLnI_12q23.3q	10	3	19	10
L1FLnI_5q15g	10	4	10	7
L1FLnI_6q24.2f	10	3	6	4
L1FLnI_12q12ua	10	1	9	1
L1FLnI_14q21.3aa	10	8	21	11
L1FLI_11q21a	10	11	15	8
L1ORF2_7q31.1	10	7	17	6
L1FLnI_6p25.2c	10	0	11	3
L1FLnI_8q22.1o	10	2	10	3
L1FLnI_14q21.1c	10	1	9	4
L1FLnI_8q12.1f	10	15	12	11
L1FLnI_2q23.3n	10	3	5	1
L1FLnI_6q21o	10	13	9	7
L1FLnI_13q31.3g	10	0	4	1
L1FLnI_1p33h	10	8	6	2
L1FLnI_3q26.2j	10	2	6	3
L1FLnI_7q22.1d	10	15	16	10
L1FLnI_14q21.1b	10	2	2	2
L1FLnI_4q32.3a	10	1	5	3
L1FLnI_10q25.2b	10	10	12	4
L1FLnI_16q22.2f	10	5	18	3
L1FLnI_14q31.3aa	10	9	9	2
L1FLnI_12p13.2i	10	9	27	9
L1FLnI_9p24.2p	10	24	13	21
L1FLnI_Xq13.3c	10	14	17	11
L1FLnI_7p14.3a	10	9	15	4
L1FLnI_19q13.42a	10	4	5	3
L1FLnI_1q31.1c	10	2	10	6
L1FLnI_14q13.3j	10	7	18	8
L1FLnI_5q11.2oa	10	6	10	2
L1FLnI_18q21.1b	10	2	15	7
L1FLnI_2q21.2g	10	7	11	6
L1FLnI_18q21.2m	10	2	14	2
L1FLnI_14q23.3n	10	13	12	8
L1FLnI_2q31.3i	10	5	12	3
L1FLnI_16q12.1o	10	8	9	3
L1FLnI_3q13.33z	10	6	27	5
L1FLnI_18q21.2j	10	2	8	4
L1FLnI_4q31.21oa	10	1	13	6
L1FLnI_14q23.1l	10	11	12	5
L1FLnI_7q21.11b	10	9	20	3
L1FLnI_Xp11.21ya	10	8	13	10
L1FLnI_9p21.2n	10	7	15	8
L1FLnI_5q11.2v	10	8	19	7
L1FLnI_13q14.3j	10	8	15	7
L1FLnI_15q24.3e	10	3	14	7
L1FLnI_1p35.1b	10	1	8	2
L1FLnI_5q14.3bb	10	2	8	3
L1FLnI_14q23.3l	10	11	12	7
L1FLnI_12q12ra	10	11	7	2
L1FLnI_1p22.2w	10	7	13	3
L1FLnI_4p11f	10	2	4	3
L1FLnI_3p22.1r	10	6	17	2
L1FLnI_Xq11.2j	10	10	18	10
L1FLnI_10q23.32d	10	9	18	9
L1FLnI_7q22.3h	10	46	26	36
L1FLnI_15q25.2e	10	2	7	1
L1FLnI_11p12xa	10	14	15	4
L1FLnI_3p21.2e	10	9	9	6
L1FLnI_9q31.1j	10	3	12	4
L1FLnI_7q21.11ma	10	4	5	4
L1FLnI_2p16.3h	10	1	4	0
L1FLnI_3p22.1j	9	8	14	3
L1FLnI_7q21.2h	9	5	12	5
L1FLnI_4p15.2c	9	5	12	3
L1FLnI_10p11.22o	9	4	7	5
L1FLnI_15q25.2n	9	5	6	11
L1FLnI_16p13.3	9	7	10	3
L1FLnI_2q12.1f	9	8	15	7
L1FLnI_7q22.1l	9	5	13	8
L1FLnI_20p11.21q	9	14	26	14
L1FLnI_11q14.1t	9	1	5	2
L1FLnI_Xp11.21lb	9	9	4	5
L1FLnI_7p14.1m	9	3	13	2
L1FLnI_8q22.1z	9	4	9	1
L1FLnI_2q23.1f	9	11	20	4
L1FLnI_12q14.3h	9	6	23	9
L1FLnI_20p12.3b	9	26	26	28
L1FLnI_7q32.2b	9	6	5	8
L1ORF2_1p36.11	9	10	12	8
L1FLnI_12q21.1o	9	3	25	3
L1FLnI_9q22.32a	9	12	31	8
L1FLnI_4q28.2m	9	3	16	4
L1FLnI_Xq25da	9	1	11	2
L1FLnI_2p23.3b	9	14	6	10
L1FLnI_1q25.1c	9	8	18	4
L1FLnI_20p11.21p	9	6	11	10
L1FLnI_2q23.1i	9	2	9	5
L1FLnI_2q32.3y	9	2	3	2
L1FLnI_8q11.21l	9	0	5	0
L1FLnI_13q13.3e	9	3	11	1
L1FLnI_6q25.3h	9	1	10	5
L1FLnI_1q42.2e	9	6	17	9
L1FLnI_13q12.12a	9	10	17	4
L1ORF2_10p11.1	9	7	9	6
L1FLnI_11p15.2j	9	9	10	5
L1FLnI_Xq21.1ve	9	12	38	15
L1FLnI_4q22.3f	9	13	14	17
L1FLnI_2q24.1ka	9	10	14	9
L1FLnI_3q13.13ca	9	3	6	4
L1FLnI_6p21.2a	9	3	6	4
L1FLnI_14q22.1i	9	2	15	5
L1FLnI_2q22.1ea	9	4	17	4
L1FLnI_11q12.1k	9	2	18	6
L1FLnI_9p24.1a	9	2	6	6
L1FLnI_Xp21.2b	9	9	12	5
L1FLnI_7q33h	9	8	10	7
L1FLnI_5q31.2d	9	4	14	5
L1FLnI_14q23.3i	9	9	36	19
L1FLnI_1p11.2b	9	8	17	9
L1FLnI_1p22.2d	9	2	4	2
L1FLnI_4q13.3ab	9	5	10	1
L1FLnI_7p15.2g	9	20	9	11
L1FLnI_Xq25z	9	5	9	10
L1FLnI_Xp22.2q	9	3	12	3
L1FLnI_12q13.11x	9	4	12	4
L1FLnI_Xq13.3o	9	8	18	7
L1FLnI_7q21.11ta	9	2	15	5
L1FLnI_4q26i	9	3	13	2
L1FLnI_5q34a	9	4	8	6
L1FLnI_18p11.21l	9	6	10	10
L1FLnI_1p22.1j	9	10	6	5
L1FLnI_1p12i	9	0	5	1
L1FLnI_Xq11.2g	9	9	31	10
L1FLnI_8q21.11b	9	5	24	8
L1ORF2_3q13.33	9	3	3	1
L1FLnI_3p21.1g	9	6	9	5
L1FLnI_Xp11.21gc	9	7	15	4
L1FLnI_12p13.31k	9	6	12	3
L1FLnI_3p26.1t	9	5	15	7
L1FLnI_14q11.2i	9	7	14	2
L1FLnI_4p16.1h	9	4	9	2
L1FLnI_2q32.1ba	9	7	14	5
L1FLnI_4q31.21z	9	5	10	2
L1FLnI_1p33w	9	1	9	1
L1FLnI_9p24.3b	9	3	12	1
L1FLnI_Xq11.2l	9	14	14	4
L1FLnI_3p26.3l	9	7	18	3
L1FLnI_12q12ab	9	3	3	5
L1FLnI_12q14.2a	9	9	8	7
L1FLnI_7p14.3z	9	1	9	5
L1FLnI_5q34r	9	4	9	2
L1FLnI_7q36.2e	9	8	9	9
L1FLnI_2p24.1f	9	5	9	5
L1FLnI_9q21.33k	9	6	12	5
L1FLnI_10p12.31r	9	5	4	2
L1FLnI_9p22.2g	9	4	12	1
L1FLnI_6q24.3b	9	8	17	9
L1FLnI_16q12.1i	9	3	14	1
L1FLnI_11p13c	9	4	15	4
L1FLnI_Xp11.21za	9	4	8	2
L1FLnI_6q22.32f	9	3	3	3
L1FLnI_3p24.1o	9	2	7	5
L1FLnI_4q32.3c	9	9	17	7
L1FLnI_8q23.1f	9	12	26	10
L1FLnI_8q13.3j	9	7	11	8
L1FLI_11q14.1	9	1	3	0
L1FLnI_2p21a	9	1	8	2
L1FLnI_Yp11.31b	9	1	6	3
L1FLnI_6q22.31sa	9	4	8	5
L1FLnI_13q12.3l	9	9	18	3
L1FLnI_3p14.1s	9	7	15	2
L1FLnI_16p11.2n	9	6	19	9
L1FLnI_1q32.3a	9	2	24	7
L1FLnI_11q14.2aa	9	23	16	15
L1FLnI_11p15.4z	9	4	12	0
L1FLnI_Xq12gb	9	8	17	8
L1FLnI_3p22.1h	9	2	12	0
L1ORF2_6q22.31	9	2	13	3
L1FLnI_2p24.2g	9	0	5	7
L1FLnI_6q22.31b	9	3	10	7
L1FLnI_4q21.23a	9	7	12	5
L1FLnI_10q25.3d	9	2	8	1
L1FLnI_3p22.1k	9	7	8	7
L1FLnI_2p16.1w	9	7	10	4
L1FLnI_1q24.1g	9	6	3	4
L1FLnI_9p24.3d	9	6	13	2
L1FLnI_3p25.3g	9	6	9	1
L1FLnI_7p12.1m	9	8	14	5
L1FLnI_11q22.1ea	9	6	5	5
L1ORF2_1p33	9	3	10	2
L1FLnI_4q31.3c	9	5	10	1
L1FLnI_2q24.2e	9	2	3	0
L1FLnI_3q13.2f	9	15	12	15
L1FLnI_Xq12ba	9	4	5	2
L1FLnI_3p14.3i	9	2	4	2
L1FLnI_5p15.2a	9	4	10	4
L1FLnI_12q13.11p	9	8	10	2
L1FLnI_12p12.1k	9	8	7	1
L1FLnI_3q13.12d	9	4	20	3
L1FLnI_4q27d	9	4	3	4
L1FLnI_2q32.3ga	9	9	2	6
L1FLnI_9q12b	9	9	15	4
L1FLnI_15q21.3ka	9	3	0	3
L1FLnI_16p11.1i	9	3	3	3
L1FLnI_2p24.3e	9	4	5	3
L1FLnI_4q35.1g	9	4	6	3
L1FLnI_2p11.2s	9	8	9	10
L1FLnI_1p22.2m	8	2	17	5
L1FLnI_Xq13.3y	8	10	7	7
L1FLnI_6q21i	8	5	3	2
L1FLnI_20q13.2l	8	0	2	1
L1FLnI_6p22.3ba	8	9	15	8
L1FLnI_11q22.3n	8	4	4	2
L1FLnI_2q11.2i	8	5	19	1
L1FLnI_Xq21.1rc	8	4	7	1
L1FLnI_7p14.3i	8	14	15	13
L1FLnI_3q22.1j	8	6	4	11
L1FLnI_7p21.2p	8	13	11	8
L1FLnI_8q12.1o	8	11	1	2
L1FLnI_8q24.12p	8	6	10	11
L1FLnI_9q32b	8	2	22	5
L1FLnI_1p33o	8	6	8	3
L1FLnI_1p21.3c	8	5	21	3
L1FLnI_3p26.1u	8	4	13	6
L1FLnI_18q21.1d	8	7	13	1
L1FLnI_4p15.33t	8	3	7	0
L1FLnI_Xq23db	8	10	7	2
L1FLnI_6q13w	8	1	4	1
L1FLnI_Xq25ca	8	2	10	0
L1FLnI_10q26.11c	8	14	15	11
L1ORF2_14q32.31	8	5	8	1
L1FLnI_5p13.2s	8	5	7	3
L1FLnI_14q21.1v	8	12	5	5
L1ORF2_18q22.3	8	0	1	2
L1FLnI_7q21.11a	8	2	9	1
L1FLnI_2p22.1c	8	3	19	3
L1FLnI_7q36.2a	8	3	9	4
L1FLnI_7q36.3f	8	3	10	5
L1FLnI_7q34d	8	3	9	3
L1FLnI_4q24va	8	2	9	6
L1FLnI_5p15.1j	8	5	13	4
L1FLnI_1q42.13c	8	11	17	5
L1FLnI_8q21.11r	8	7	16	10
L1FLnI_8q21.3b	8	1	7	7
L1FLnI_20p12.1m	8	10	20	9
L1FLnI_20p12.1f	8	2	3	3
L1FLnI_4q26h	8	5	15	3
L1FLnI_12q22a	8	2	7	7
L1FLnI_7q21.3p	8	4	13	8
L1FLnI_6q13ga	8	10	20	9
L1FLnI_11q24.2a	8	4	17	8
L1FLnI_6q14.1d	8	0	3	3
L1FLnI_Xq26.2k	8	4	13	2
L1FLnI_11p15.4d	8	8	9	7
L1FLnI_2q24.1n	8	7	0	1
L1FLnI_8p23.1b	8	5	18	5
L1FLnI_Xq11.2ba	8	6	18	3
L1FLnI_1p32.1e	8	6	8	2
L1FLnI_5q12.1p	8	7	5	1
L1FLnI_18q12.3a	8	3	9	7
L1FLnI_1p22.1a	8	2	10	3
L1FLnI_4q31.21ka	8	6	8	6
L1FLI_7q21.3	8	7	18	5
L1FLnI_3q12.1b	8	4	7	7
L1FLnI_9q21.12f	8	6	9	1
L1FLnI_4q21.1i	8	5	15	3
L1FLnI_1p22.3n	8	9	22	14
L1FLnI_1q21.1k	8	3	5	3
L1ORF2_2p25.3	8	3	6	1
L1FLnI_4q31.1d	8	7	11	3
L1FLnI_4q35.1b	8	5	10	5
L1FLnI_2q33.1c	8	6	16	2
L1FLnI_13q13.3h	8	18	10	28
L1FLnI_5q11.2z	8	5	8	13
L1FLnI_8q24.23b	8	0	3	3
L1FLnI_4q31.21g	8	2	10	1
L1FLnI_15q24.3c	8	3	11	2
L1FLnI_5p15.31s	8	4	9	12
L1FLnI_11q14.1r	8	5	3	4
L1FLnI_3q22.2c	8	3	9	3
L1FLnI_9q31.1ca	8	2	9	1
L1FLnI_Xq12db	8	9	5	7
L1FLnI_8q21.2j	8	3	6	3
L1FLnI_3p14.2s	8	9	18	4
L1FLnI_12p13.2k	8	1	17	6
L1FLnI_3p21.2b	8	8	9	6
L1FLnI_4p15.33k	8	3	8	3
L1FLnI_4q13.3oa	8	7	7	12
L1FLnI_Xq11.2a	8	1	13	2
L1FLnI_1q24.3h	8	6	9	3
L1FLnI_4p15.2ca	8	7	7	3
L1FLnI_4p15.2s	8	12	26	14
L1FLnI_5p13.1p	8	10	25	7
L1FLnI_2q24.1na	8	6	8	5
L1FLnI_Xp22.2i	8	4	10	10
L1FLnI_12q13.13	8	7	9	0
L1FLnI_4q28.1ma	8	7	9	9
L1FLnI_Xp11.21mc	8	8	15	11
L1FLnI_Xp11.3p	8	3	6	4
L1FLnI_10q21.1ga	8	6	5	5
L1FLnI_3p22.1ca	8	1	3	5
L1FLnI_8q22.1da	8	9	25	7
L1FLnI_2q24.1ha	8	10	14	3
L1FLnI_8p21.2l	8	4	7	0
L1FLnI_14q21.3b	8	2	6	2
L1FLnI_21q11.2d	8	2	11	5
L1FLnI_4q22.1l	8	4	14	4
L1FLnI_14q12xa	8	4	7	1
L1FLnI_Xq25hb	8	1	0	3
L1FLnI_3q22.1e	8	7	11	10
L1FLnI_12q21.1a	8	1	5	3
L1FLnI_5q12.3n	8	2	16	4
L1FLnI_3p14.3b	8	7	7	3
L1FLnI_19p13.2a	8	8	11	2
L1FLnI_9p21.2e	8	1	1	3
L1FLnI_5p15.1r	8	9	13	4
L1FLnI_9p23v	8	7	9	9
L1FLnI_9q12a	8	4	5	4
L1FLnI_8q24.13p	8	6	17	7
L1FLnI_6q14.1la	8	5	8	7
L1FLnI_13q13.3o	8	2	6	6
L1FLnI_10q25.1o	8	4	3	0
L1FLnI_4q12oa	8	6	11	2
L1FLnI_1p22.2o	8	5	9	5
L1FLnI_15q21.2c	8	12	29	10
L1FLnI_17p13.1b	8	9	9	8
L1FLnI_18q11.2g	8	4	10	7
L1FLI_3p14.1	8	7	5	5
L1FLnI_Xq25la	8	1	6	0
L1FLnI_4q21.1j	8	3	11	2
L1FLnI_4q25la	8	2	5	7
L1FLnI_1p32.1g	8	2	2	4
L1FLnI_10p15.1d	8	4	17	3
L1FLnI_15q26.1a	8	2	3	4
L1FLnI_5p13.2y	8	9	22	5
L1FLnI_Xq27.2a	8	11	10	11
L1FLnI_7p14.3o	8	3	3	4
L1FLnI_18q12.2b	8	16	9	6
L1FLnI_1q32.2c	8	6	8	5
L1FLnI_2q23.2f	8	10	5	9
L1FLnI_11p14.3m	8	2	4	2
L1FLnI_Xp11.22k	8	0	0	1
L1FLnI_7q34k	8	3	7	3
L1FLnI_4p11d	8	2	11	2
L1FLnI_3p14.1d	8	5	8	8
L1FLnI_5q33.1r	8	1	1	2
L1FLnI_13q13.3r	8	5	17	6
L1FLnI_10q21.1qa	8	3	12	6
L1FLnI_8p21.2f	8	11	22	10
L1FLnI_Xq28pa	8	4	10	3
L1FLnI_2q32.1ma	8	4	14	3
L1FLnI_11q22.3oa	8	1	10	4
L1FLnI_11p11.12a	8	2	11	1
L1FLnI_4q28.1ba	8	1	3	0
L1FLnI_12q23.2b	8	4	8	5
L1FLnI_13q22.3d	8	1	4	0
L1FLnI_10q25.3f	8	3	12	1
L1FLnI_11q14.2w	8	15	16	4
L1FLnI_9q31.2f	8	3	20	7
L1FLnI_18p11.21i	8	8	4	6
L1FLnI_1p34.2d	8	6	8	6
L1FLnI_3p21.2a	8	6	9	1
L1FLnI_18q22.2b	8	1	4	3
L1FLnI_22q11.22c	8	9	22	19
L1FLnI_11q13.4b	8	9	9	8
L1FLnI_7p12.1n	8	4	6	2
L1FLnI_4q31.23a	8	4	3	8
L1FLnI_6q13x	8	3	13	5
L1FLnI_4q24s	8	3	8	1
L1FLnI_12q23.1ha	8	11	5	1
L1FLnI_13q31.3l	8	11	7	6
L1FLnI_2p11.2n	8	13	20	8
L1FLnI_2q24.1a	8	5	15	4
L1FLnI_12p12.1g	8	12	15	9
L1FLnI_10q26.3e	8	8	13	8
L1FLnI_11q12.3o	8	6	1	1
L1FLnI_22q12.3a	8	7	14	9
L1FLnI_4q22.1j	8	1	14	5
L1FLnI_22p11.2d	8	2	11	7
L1FLnI_12q21.2i	8	2	1	0
L1FLnI_3q25.2d	8	5	13	7
L1FLnI_4q31.22i	8	3	9	1
L1FLnI_9q21.12a	8	2	7	4
L1FLnI_2q36.1a	8	1	5	1
L1FLnI_6p22.1k	8	3	7	2
L1FLnI_14q24.2i	8	2	7	5
L1ORF2_6q21b	8	2	8	1
L1FLnI_13q12.11m	8	10	9	6
L1FLnI_2q22.3f	8	2	1	0
L1FLnI_Xp11.22ca	8	0	4	0
L1FLnI_8q24.12k	8	3	2	2
L1FLnI_15q26.2e	8	2	4	3
L1FLnI_2p16.3o	8	2	1	1
L1FLnI_Xq21.1sc	7	1	4	1
L1FLnI_18q12.3x	7	6	3	4
L1FLnI_11q23.1c	7	5	7	5
L1FLnI_13q33.1c	7	2	8	7
L1FLnI_14q21.2w	7	2	10	4
L1FLnI_4q23v	7	3	3	3
L1FLnI_4q21.23j	7	3	10	4
L1FLnI_22q13.31b	7	6	2	1
L1FLnI_Xp11.22a	7	3	13	5
L1FLnI_1q25.2f	7	3	18	2
L1FLnI_5q11.2k	7	3	7	4
L1FLnI_3p22.1u	7	4	17	8
L1FLnI_6q21k	7	6	9	2
L1FLnI_3q11.1i	7	4	10	4
L1FLI_Xq11.2	7	6	12	6
L1FLnI_Xq27.3i	7	4	15	1
L1FLnI_2q37.1g	7	11	13	10
L1FLnI_1q21.1d	7	1	6	4
L1FLnI_11q14.1da	7	6	12	1
L1FLnI_14q31.3v	7	5	7	0
L1FLnI_11p14.3j	7	6	14	2
L1FLnI_Xq26.3fa	7	4	11	3
L1FLnI_4q21.21e	7	2	1	2
L1FLnI_11q12.3e	7	7	14	11
L1FLnI_8q13.3g	7	4	19	6
L1FLnI_6q22.32i	7	4	6	2
L1FLnI_8q22.1ba	7	3	21	7
L1FLnI_4p16.1j	7	1	13	6
L1FLnI_5p15.33a	7	6	9	7
L1FLnI_12p12.3g	7	4	14	9
L1FLnI_5q23.1e	7	4	6	2
L1FLnI_4q13.2e	7	9	9	7
L1FLI_1p13.2	7	2	7	2
L1FLnI_5q15ba	7	6	10	2
L1FLnI_2q23.2e	7	3	5	5
L1FLnI_15q24.3b	7	4	3	0
L1FLnI_18q12.1r	7	1	4	3
L1FLnI_12q12za	7	3	18	4
L1FLnI_2q24.2d	7	2	4	1
L1FLnI_4q35.2g	7	3	16	3
L1FLnI_Xp11.22na	7	5	6	4
L1FLnI_5p13.2r	7	5	9	3
L1FLnI_6q24.2d	7	11	11	8
L1FLnI_Xq12fb	7	5	3	0
L1FLnI_7p21.2m	7	5	5	5
L1FLnI_11q25r	7	3	13	2
L1FLnI_12q23.1k	7	8	11	3
L1FLnI_11p15.5b	7	4	14	3
L1FLnI_4q12s	7	3	5	9
L1FLnI_11q12.1v	7	11	15	9
L1FLnI_6q23.3k	7	3	1	3
L1FLnI_16q23.2c	7	2	4	1
L1FLnI_9q33.2a	7	9	5	6
L1FLnI_2q31.2k	7	7	7	3
L1FLnI_9p24.1ea	7	7	13	7
L1FLnI_12q13.11i	7	8	17	6
L1FLnI_Xp11.21tb	7	5	11	4
L1FLnI_Xp22.2r	7	1	8	0
L1FLnI_12p13.31c	7	0	20	12
L1FLnI_1q25.1b	7	1	4	0
L1FLnI_4q22.1a	7	9	2	0
L1FLnI_Xq28ha	7	3	7	8
L1FLnI_14q11.2m	7	2	4	1
L1FLnI_Xq28d	7	3	7	4
L1FLnI_5q14.2c	7	1	6	2
L1FLnI_5q34ka	7	5	14	6
L1FLnI_2p16.2b	7	3	3	3
L1FLnI_12p12.2g	7	3	12	3
L1FLnI_10q25.3g	7	3	7	1
L1FLnI_7q11.22a	7	3	4	5
L1FLnI_4q31.21ja	7	4	9	2
L1FLnI_15q13.1c	7	4	9	3
L1FLnI_2p22.1g	7	5	7	3
L1FLnI_Xp11.21zb	7	3	10	5
L1FLnI_8q13.1g	7	1	4	4
L1FLnI_10q23.31f	7	5	16	5
L1FLnI_14q22.1h	7	2	14	2
L1FLnI_9p22.3b	7	7	13	7
L1FLnI_4q31.23b	7	0	5	3
L1FLnI_9p21.1ia	7	12	12	7
L1FLnI_5q22.1n	7	10	8	7
L1FLnI_15q26.3l	7	2	9	3
L1FLnI_1p33r	7	1	5	2
L1FLnI_7p21.3ua	7	3	11	2
L1FLnI_2q12.1c	7	0	4	0
L1FLnI_14q22.1p	7	5	15	1
L1FLnI_13q12.11k	7	9	11	6
L1FLnI_7q31.31q	7	7	9	2
L1FLnI_13q14.2n	7	1	2	0
L1FLnI_Xq26.1m	7	1	10	2
L1FLnI_13q14.13b	7	3	21	4
L1FLnI_5q13.2g	7	2	9	4
L1FLI_3q23	7	17	14	9
L1FLnI_1p32.2d	7	4	6	2
L1FLnI_4p12q	7	5	19	2
L1FLnI_13q21.1x	7	3	5	5
L1FLnI_1p33ea	7	1	2	3
L1FLnI_8q13.2n	7	3	3	1
L1FLnI_11q14.1y	7	6	11	2
L1FLnI_2p16.1d	7	1	2	2
L1FLnI_9p24.1z	7	0	2	1
L1FLnI_Xp11.21la	7	1	10	1
L1FLnI_7p14.3j	7	12	11	10
L1FLnI_2p12sa	7	13	15	9
L1FLnI_18q12.1y	7	0	1	1
L1FLnI_Xq11.1x	7	5	14	1
L1FLI_Xp21.1b	7	7	10	5
L1FLnI_7p21.3qa	7	10	15	6
L1FLnI_10p11.22t	7	5	13	5
L1FLnI_Xp22.31b	7	7	8	0
L1FLnI_4q33c	7	2	4	0
L1FLnI_Xp22.2v	7	0	3	0
L1ORF2_6q22.1	7	12	9	7
L1FLnI_5q12.2b	7	3	6	7
L1FLnI_3q26.32t	7	13	13	4
L1FLnI_11q14.3ea	7	8	8	2
L1FLnI_20p12.1d	7	3	3	2
L1FLnI_1p35.1a	7	8	16	7
L1ORF2_5q23.2	7	4	12	0
L1FLnI_Xq12xa	7	5	10	1
L1FLnI_5q12.1t	7	3	8	5
L1FLnI_3q12.1i	7	2	0	3
L1FLnI_8q11.21z	7	2	2	1
L1FLnI_4p15.33x	7	5	11	3
L1ORF2_6p12.3	7	2	7	4
L1FLnI_10q23.33g	7	5	11	3
L1FLnI_9p24.1d	7	6	1	3
L1FLnI_7q21.11v	7	5	7	6
L1FLnI_9q31.2j	7	5	14	12
L1ORF2_19q13.13	7	1	3	0
L1FLnI_3q13.2g	7	16	16	29
L1FLnI_4q22.1k	7	8	21	9
L1FLnI_4q27y	7	1	4	2
L1FLnI_2q23.3a	7	6	16	4
L1FLnI_5p13.2n	7	4	8	6
L1FLnI_Xq21.1pb	7	2	2	4
L1FLnI_Xq28ea	7	5	6	4
L1FLnI_4q32.1ba	7	5	6	1
L1FLnI_3p25.3d	7	11	4	3
L1FLnI_21q21.3i	7	5	3	3
L1FLnI_4q21.3i	7	2	6	4
L1FLnI_5q12.1z	7	1	7	2
L1FLnI_4p15.2b	7	6	10	5
L1FLnI_Xp11.21rc	7	3	12	0
L1FLnI_18q21.1n	7	3	6	1
L1FLnI_18p11.21q	7	0	15	2
L1FLnI_9q21.12e	7	2	14	2
L1FLnI_Xq26.1j	7	1	6	3
L1FLnI_13q33.2e	7	8	6	5
L1FLnI_9p21.1ka	7	9	5	12
L1FLnI_16q11.2a	7	3	9	2
L1FLnI_19p13.2b	7	6	8	4
L1FLnI_5q23.2o	7	6	18	3
L1FLnI_12p12.2j	7	0	9	3
L1FLnI_5q12.1h	7	1	12	0
L1FLnI_11q24.2g	7	0	13	1
L1FLnI_Xp11.21ec	7	13	17	11
L1FLnI_7q34g	7	21	11	13
L1FLnI_13q22.1e	7	5	4	2
L1FLnI_18q23l	7	2	5	4
L1ORF2_20p11.21	7	10	7	6
L1FLnI_Xq23jb	7	4	8	5
L1FLnI_Xp11.21ha	7	4	10	8
L1FLnI_2q12.1d	7	2	7	4
L1FLnI_1p31.1jc	7	6	12	12
L1FLnI_Xq25ga	7	4	4	7
L1FLnI_Xq25kb	7	3	8	2
L1FLnI_20q13.12h	7	1	3	4
L1FLnI_4q21.3c	7	4	5	2
L1FLnI_8p23.2n	7	2	10	6
L1FLnI_3q26.32a	7	4	4	0
L1FLnI_13q13.3n	7	9	14	6
L1FLnI_Xq12g	7	6	7	2
L1FLnI_7p12.1t	7	2	13	4
L1FLnI_5q14.3ab	7	3	13	1
L1FLnI_8q24.22f	7	3	4	3
L1FLnI_6q14.3w	7	4	12	6
L1FLnI_2q32.1x	7	2	5	0
L1FLnI_5q11.1d	7	6	13	6
L1FLnI_21q22.11d	7	2	7	2
L1FLnI_4q22.3ba	7	6	18	1
L1FLnI_21q21.1t	7	0	5	3
L1FLnI_17p13.3f	7	12	15	9
L1FLnI_Xq13.3cb	7	0	0	2
L1FLnI_9q31.2i	7	4	16	2
L1FLnI_Xq21.1ze	7	5	8	4
L1FLnI_5q11.2m	7	10	9	6
L1FLnI_6p25.3a	7	1	7	4
L1FLnI_2p24.1h	7	6	13	6
L1FLnI_1q31.1v	7	3	3	1
L1FLnI_8q13.3o	7	1	3	0
L1FLnI_11q14.2u	7	8	12	8
L1FLnI_Xp22.2y	7	2	2	5
L1FLnI_3q13.11i	7	2	9	3
L1FLnI_8q12.3w	7	1	0	0
L1FLnI_13q31.1t	7	1	1	1
L1FLnI_11q22.1u	7	1	5	0
L1FLnI_8q11.21o	7	3	8	5
L1FLnI_9q21.32l	7	8	8	1
L1FLnI_10p12.1i	7	5	11	6
L1FLnI_1p32.2c	7	2	6	1
L1FLnI_11p14.3o	7	1	10	1
L1FLnI_3p12.2d	7	0	5	0
L1FLnI_11q14.1ea	7	2	11	4
L1FLI_8q24.12	7	6	10	2
L1FLnI_10q21.3i	7	2	1	0
L1FLnI_5p12da	7	4	1	1
L1FLnI_9q22.31g	7	4	8	5
L1FLnI_13q31.3d	7	4	2	1
